"source.ip: Descending","dest.ip: Descending","dest.port: Descending",Count
"172.30.20.72","172.30.40.103",1521,110809
"172.30.20.72","172.30.40.104",1521,41858
"172.30.20.72","172.30.20.69",48629,4
"172.30.20.72","172.30.20.69",48630,4
"172.30.20.72","172.30.20.69",48631,4
"172.30.20.72","172.30.20.69",48632,4
"172.30.20.72","172.30.20.69",4903,1286
"172.30.20.72","172.30.20.69",52602,6
"172.30.20.72","172.0.5.1",53,929
"172.30.20.72","172.30.20.16",29916,4
"172.30.20.72","172.30.20.16",49983,5
"172.30.20.72","172.30.20.16",51953,5
"172.30.20.72","172.30.20.16",60762,884
"172.30.20.72","172.30.20.98",33167,6
"172.30.20.72","172.30.20.98",33168,6
"172.30.20.72","172.30.20.98",37828,6
"172.30.20.72","172.30.20.98",38756,4
"172.30.20.72","172.30.20.98",38869,6
"172.30.20.72","172.30.20.98",38978,5
"172.30.20.72","172.30.20.98",39043,4
"172.30.20.72","172.30.20.98",39044,4
"172.30.20.72","172.30.20.98",39272,6
"172.30.20.72","172.30.20.98",39273,6
"172.30.20.72","172.30.20.98",40424,5
"172.30.20.72","172.30.20.98",42555,4
"172.30.20.72","172.30.20.98",42940,5
"172.30.20.72","172.30.20.98",43703,6
"172.30.20.72","172.30.20.98",43843,5
"172.30.20.72","172.30.20.98",44175,4
"172.30.20.72","172.30.20.98",44281,5
"172.30.20.72","172.30.20.98",49839,5
"172.30.20.72","172.30.20.98",50617,5
"172.30.20.72","172.30.20.98",53167,5
"172.30.20.72","172.30.20.98",57600,5
"172.30.20.72","172.30.20.98",57631,6
"172.30.20.72","172.30.20.98",57691,4
"172.30.20.72","172.30.20.98",58033,5
"172.30.20.72","172.30.20.98",58544,6
"172.30.20.72","172.30.20.98",60467,5
"172.30.20.72","172.30.20.98",60468,5
"172.30.20.72","172.30.20.98",60804,5
"172.30.20.72","78.111.50.50",123,52
"172.30.20.72","10.30.0.11",49177,9
"172.30.20.72","10.30.0.11",56535,5
"172.30.20.72","10.30.0.11",56554,4
"172.30.20.72","172.0.0.235",49197,4
"172.30.20.72","172.0.0.235",49207,6
"172.30.20.72","172.30.20.152",1521,10
"172.30.20.98","172.30.20.72",1521,118763
"172.30.20.98","172.30.20.100",514,148
"172.30.30.164","224.0.0.252",5355,22202
"172.30.30.164","172.30.255.255",137,995
"172.30.30.201","172.0.10.1",110,38
"172.30.30.201","172.0.10.1",143,28
"172.30.30.201","172.0.10.1",161,14
"172.30.30.201","172.0.10.1",21,35
"172.30.30.201","172.0.10.1",25,39
"172.30.30.201","172.0.10.1",3389,5
"172.30.30.201","172.0.10.1",443,35
"172.30.30.201","172.0.10.1",465,5
"172.30.30.201","172.0.10.1",53,6
"172.30.30.201","172.0.10.1",623,6
"172.30.30.201","172.0.10.1",80,63
"172.30.30.201","172.0.10.1",8080,29
"172.30.30.201","172.0.10.1",993,5
"172.30.30.201","172.0.10.1",995,4
"172.30.30.201","172.0.5.8",123,5
"172.30.30.201","172.0.5.8",53,444
"172.30.30.201","62.212.252.119",443,376
"172.30.30.201","62.212.252.119",80,80
"172.30.30.201","62.212.252.98",443,368
"172.30.30.201","62.212.252.98",80,85
"172.30.30.201","62.212.252.93",443,358
"172.30.30.201","62.212.252.93",80,83
"172.30.30.201","62.212.252.118",443,355
"172.30.30.201","62.212.252.118",80,85
"172.30.30.201","62.212.252.99",443,357
"172.30.30.201","62.212.252.99",80,82
"172.30.30.201","62.212.252.114",443,360
"172.30.30.201","62.212.252.114",80,77
"172.30.30.201","62.212.252.88",443,335
"172.30.30.201","62.212.252.88",80,42
"172.30.30.201","62.212.252.108",443,334
"172.30.30.201","62.212.252.108",80,42
"172.30.30.201","62.212.252.113",443,333
"172.30.30.201","62.212.252.113",80,39
"172.30.30.201","62.212.252.103",443,328
"172.30.30.201","62.212.252.103",80,43
"172.30.30.201","62.212.252.104",443,323
"172.30.30.201","62.212.252.104",80,44
"172.30.30.201","62.212.252.123",443,322
"172.30.30.201","62.212.252.123",80,43
"172.30.30.201","62.212.252.84",443,331
"172.30.30.201","62.212.252.84",80,34
"172.30.30.201","62.212.252.94",443,315
"172.30.30.201","62.212.252.94",80,45
"172.30.30.201","62.212.252.109",443,312
"172.30.30.201","62.212.252.109",80,47
"172.30.30.201","62.212.252.89",443,307
"172.30.30.201","62.212.252.89",80,38
"172.30.30.201","94.20.252.113",443,250
"172.30.30.201","94.20.252.113",80,8
"172.30.30.201","94.20.252.98",443,249
"172.30.30.201","94.20.252.98",80,8
"172.30.30.201","94.20.252.119",443,243
"172.30.30.201","94.20.252.119",80,10
"172.30.30.201","94.20.252.99",443,240
"172.30.30.201","94.20.252.99",80,10
"172.30.30.201","94.20.252.93",443,238
"172.30.30.201","94.20.252.93",80,8
"172.30.30.201","94.20.252.108",443,235
"172.30.30.201","94.20.252.108",80,10
"172.30.30.201","94.20.252.118",443,236
"172.30.30.201","94.20.252.118",80,8
"172.30.30.201","94.20.252.123",443,231
"172.30.30.201","94.20.252.123",80,10
"172.30.30.201","94.20.252.84",443,233
"172.30.30.201","94.20.252.84",80,8
"172.30.30.201","94.20.252.94",443,231
"172.30.30.201","94.20.252.94",80,10
"172.30.30.201","94.20.252.103",443,232
"172.30.30.201","94.20.252.103",80,8
"172.30.30.201","94.20.252.109",443,232
"172.30.30.201","94.20.252.109",80,8
"172.30.30.201","94.20.252.104",443,228
"172.30.30.201","94.20.252.104",80,10
"172.30.30.201","94.20.252.89",443,228
"172.30.30.201","94.20.252.89",80,10
"172.30.30.201","94.20.252.88",443,227
"172.30.30.201","94.20.252.88",80,10
"172.30.30.201","94.20.252.114",443,227
"172.30.30.201","94.20.252.114",80,8
"172.30.30.201","172.0.5.6",135,15
"172.30.30.201","172.0.5.6",389,33
"172.30.30.201","172.0.5.6",445,35
"172.30.30.201","172.0.5.6",49156,30
"172.30.30.201","172.0.5.6",88,69
"172.30.30.201","94.20.252.157",443,131
"172.30.30.201","94.20.252.172",443,128
"172.30.30.201","94.20.252.148",443,127
"172.30.30.201","94.20.252.158",443,125
"172.30.30.201","94.20.252.173",443,125
"172.30.30.201","94.20.252.163",443,123
"172.30.30.201","94.20.252.182",443,123
"172.30.30.201","94.20.252.178",443,121
"172.30.30.201","94.20.252.183",443,119
"172.30.30.201","94.20.252.153",443,117
"172.30.30.201","94.20.252.162",443,117
"172.30.30.201","94.20.252.167",443,116
"172.30.30.201","94.20.252.187",443,116
"172.30.30.201","94.20.252.168",443,115
"172.30.30.201","94.20.252.177",443,114
"172.30.30.201","94.20.252.152",443,110
"172.30.30.201","94.20.252.45",443,97
"172.30.30.201","94.20.252.49",443,97
"172.30.30.201","172.0.5.18",443,82
"172.30.30.201","172.0.5.18",80,14
"172.30.30.201","94.20.252.20",443,96
"172.30.30.201","94.20.252.39",443,96
"172.30.30.201","94.20.252.55",443,93
"172.30.30.201","94.20.252.54",443,91
"172.30.30.201","94.20.252.35",443,90
"172.30.30.201","94.20.252.40",443,89
"172.30.30.201","94.20.252.50",443,89
"172.30.30.201","94.20.252.59",443,88
"172.30.30.201","94.20.252.29",443,83
"172.30.30.201","94.20.252.25",443,79
"172.30.30.201","94.20.252.30",443,78
"172.30.30.201","94.20.252.34",443,78
"172.30.30.201","94.20.252.44",443,78
"172.30.30.201","94.20.252.24",443,73
"172.30.30.201","62.212.252.44",443,65
"172.30.30.201","62.212.252.20",443,64
"172.30.30.201","62.212.252.55",443,63
"172.30.30.201","62.212.252.59",443,63
"172.30.30.201","62.212.252.24",443,60
"172.30.30.201","62.212.252.25",443,60
"172.30.30.201","62.212.252.29",443,60
"172.30.30.201","62.212.252.35",443,60
"172.30.30.201","62.212.252.49",443,60
"172.30.30.201","62.212.252.54",443,60
"172.30.30.201","172.30.255.255",137,25
"172.30.30.201","172.30.255.255",138,33
"172.30.30.201","172.0.0.62",49219,57
"172.30.30.201","62.212.252.34",443,57
"172.30.30.201","62.212.252.39",443,57
"172.30.30.201","62.212.252.50",443,55
"172.30.30.201","62.212.252.30",443,54
"172.30.30.201","62.212.252.40",443,54
"172.30.30.201","62.212.252.45",443,54
"172.30.30.201","224.0.0.252",5355,53
"172.30.30.201","216.58.207.74",443,32
"172.30.30.201","172.0.5.1",135,9
"172.30.30.201","172.0.5.1",389,9
"172.30.30.201","172.0.5.1",49157,9
